is_left_footed,game_away,is_endgame,is_start,time_norm,distance,angle,is_left_side,has_previous_attempts,wind_speed,precipitation_probability,resultat
0,0,1,0,1.0,30,12,1,1,2.15,0.0,1
1,0,1,0,1.0,41,11,1,0,2.15,0.0,1
0,0,1,0,1.0,28,35,0,0,2.15,0.0,1
0,1,0,1,0.06,38,27,0,0,2.15,0.0,1
0,1,0,0,0.13,47,10,1,1,2.15,0.0,0
0,1,0,0,0.16,23,43,0,1,2.15,0.0,1
1,1,0,0,0.19,44,25,1,0,2.15,0.0,0
0,1,0,0,0.46,25,42,1,1,2.15,0.0,1
0,1,0,0,0.93,30,45,0,1,2.15,0.0,1
0,1,1,0,1.0,34,45,0,1,2.15,0.0,1
0,1,1,0,1.0,16,35,1,1,2.15,0.0,1
0,0,0,0,0.36,40,56,1,0,4.39,0.0,1
0,0,0,0,0.81,33,25,0,1,4.39,0.0,1
1,0,1,0,1.0,12,5,0,0,4.39,0.0,1
1,0,1,0,1.0,28,26,1,1,4.39,0.0,0
0,1,0,0,0.08,44,43,1,0,4.39,0.0,1
0,1,0,0,0.13,29,36,1,1,4.39,0.0,1
0,1,0,0,0.4,33,44,1,1,4.39,0.0,1
0,1,0,0,0.56,40,4,1,1,4.39,0.0,1
0,1,0,0,0.61,34,28,1,1,4.39,0.0,1
0,1,1,0,1.0,29,4,1,1,4.39,0.0,0
0,1,1,0,1.0,30,2,1,1,4.39,0.0,1
0,1,1,0,1.0,17,45,1,1,4.39,0.0,1
0,0,0,0,0.1,30,23,1,0,1.16,0.0,1
0,0,0,0,0.55,16,15,1,1,1.16,0.0,1
0,0,0,0,0.9,42,54,0,1,1.16,0.0,0
0,0,1,0,1.0,41,20,0,1,1.16,0.0,1
0,0,1,0,1.0,41,53,1,1,1.16,0.0,1
0,0,1,0,1.0,31,40,0,1,1.16,0.0,1
0,1,0,0,0.14,25,29,0,0,1.16,0.0,1
0,1,0,0,0.22,31,36,1,1,1.16,0.0,1
0,1,0,0,0.4,17,36,0,1,1.16,0.0,1
0,1,0,0,0.65,42,55,0,1,1.16,0.0,0
0,1,1,0,0.98,38,53,1,1,1.16,0.0,0
0,1,1,0,1.0,29,49,1,1,1.16,0.0,1
0,1,1,0,1.0,38,55,0,1,1.16,0.0,0
0,0,0,0,0.08,44,49,1,0,3.08,0.0,0
0,0,0,0,0.29,10,0,1,1,3.08,0.0,1
0,0,0,0,0.36,43,48,1,1,3.08,0.0,1
0,0,0,0,0.46,29,38,0,1,3.08,0.0,1
0,0,0,0,0.84,43,33,1,1,3.08,0.0,1
0,0,1,0,1.0,42,47,1,1,3.08,0.0,1
0,0,1,0,1.0,15,23,1,1,3.08,0.0,1
1,0,1,0,1.0,43,53,1,0,3.08,0.0,0
1,0,1,0,1.0,35,44,1,1,3.08,0.0,0
1,0,1,0,1.0,42,56,0,1,3.08,0.0,1
0,1,0,1,0.05,34,34,1,0,3.08,0.0,1
0,1,0,0,0.12,26,28,1,1,3.08,0.0,1
0,1,0,0,0.32,31,37,0,1,3.08,0.0,1
0,1,1,0,0.96,39,52,1,1,3.08,0.0,1
0,1,1,0,1.0,13,32,1,1,3.08,0.0,1
1,0,0,0,0.07,29,18,1,0,3.32,0.0,1
1,0,0,0,0.15,33,29,1,1,3.32,0.0,0
1,0,0,0,0.22,36,38,0,1,3.32,0.0,0
1,0,0,0,0.45,13,9,0,1,3.32,0.0,1
1,0,0,0,0.93,31,40,1,1,3.32,0.0,0
1,0,1,0,1.0,25,47,1,1,3.32,0.0,0
0,0,1,0,1.0,40,9,0,0,3.32,0.0,1
1,1,1,0,1.0,36,37,0,0,3.32,0.0,0
0,0,0,0,0.08,35,41,1,0,2.18,0.0,1
0,0,0,0,0.21,37,47,1,1,2.18,0.0,0
0,0,0,0,0.26,26,32,0,1,2.18,0.0,1
0,0,0,0,0.65,23,43,1,1,2.18,0.0,1
0,0,0,0,0.9,31,37,1,1,2.18,0.0,1
0,0,1,0,1.0,33,33,1,1,2.18,0.0,1
0,0,1,0,1.0,16,40,1,1,2.18,0.0,1
0,0,1,0,1.0,41,32,1,1,2.18,0.0,1
0,0,1,0,1.0,41,52,1,1,2.18,0.0,1
0,1,0,0,0.14,11,34,1,0,2.18,0.0,1
0,1,0,0,0.24,26,37,0,1,2.18,0.0,1
0,1,0,0,0.29,39,52,1,1,2.18,0.0,1
0,1,0,0,0.44,39,50,0,1,2.18,0.0,0
0,1,1,0,0.97,36,46,1,1,2.18,0.0,1
0,1,1,0,1.0,34,43,0,1,2.18,0.0,0
0,1,1,0,1.0,40,49,1,1,2.18,0.0,1
1,0,0,0,0.27,36,36,0,0,1.78,0.0,1
1,0,0,0,0.35,39,54,1,1,1.78,0.0,0
1,0,0,0,0.63,38,50,0,1,1.78,0.0,0
1,0,0,0,0.69,33,44,0,1,1.78,0.0,0
1,0,1,0,0.95,29,35,0,1,1.78,0.0,0
1,0,1,0,0.99,40,53,0,0,1.78,0.0,1
1,0,1,0,1.0,34,45,0,1,1.78,0.0,0
0,0,1,0,1.0,24,2,1,0,1.78,0.0,1
0,0,1,0,1.0,30,9,1,1,1.78,0.0,1
0,1,0,0,0.07,32,26,0,0,1.78,0.0,0
0,1,0,0,0.21,9,0,1,1,1.78,0.0,1
0,1,0,0,0.29,40,22,0,1,1.78,0.0,0
0,1,0,0,0.31,9,18,1,1,1.78,0.0,1
0,1,0,0,0.46,20,41,1,1,1.78,0.0,1
1,1,0,0,0.92,44,21,0,0,1.78,0.0,1
1,1,1,0,1.0,38,17,0,1,1.78,0.0,1
1,1,1,0,1.0,26,32,0,1,1.78,0.0,1
1,1,1,0,1.0,10,11,0,1,1.78,0.0,1
0,0,0,0,0.09,30,45,0,0,2.4,0.0,1
0,0,0,0,0.22,11,22,0,1,2.4,0.0,1
0,0,0,0,0.47,41,54,1,1,2.4,0.0,1
0,0,0,0,0.9,16,38,0,1,2.4,0.0,1
0,0,1,0,1.0,41,7,0,1,2.4,0.0,1
0,1,0,0,0.13,8,30,0,0,2.4,0.0,1
0,1,0,0,0.2,41,53,0,1,2.4,0.0,1
1,1,0,0,0.57,58,20,0,0,2.4,0.0,0
1,1,0,0,0.59,7,8,0,1,2.4,0.0,1
1,1,1,0,0.95,20,37,1,1,2.4,0.0,1
1,1,1,0,1.0,34,27,1,1,2.4,0.0,0
1,1,1,0,1.0,42,28,0,1,2.4,0.0,1
0,0,0,0,0.2,11,10,0,0,1.46,0.0,1
0,0,0,0,0.33,13,18,0,1,1.46,0.0,1
0,0,0,0,0.49,37,45,1,1,1.46,0.0,1
0,0,0,0,0.58,37,47,1,1,1.46,0.0,1
0,0,0,0,0.62,33,39,0,1,1.46,0.0,1
0,0,1,0,1.0,13,29,1,0,1.46,0.0,1
0,0,1,0,1.0,43,54,0,1,1.46,0.0,0
0,0,1,0,1.0,11,5,0,1,1.46,0.0,1
0,0,1,0,1.0,14,30,0,1,1.46,0.0,1
0,1,0,1,0.04,16,35,1,0,1.46,0.0,1
0,1,1,0,1.0,38,43,0,1,1.46,0.0,1
0,0,0,0,0.23,36,13,1,0,0.99,0.0,1
0,0,0,0,0.9,42,52,0,1,0.99,0.0,1
1,0,1,0,1.0,40,51,0,0,0.99,0.0,0
1,0,1,0,1.0,29,38,1,1,0.99,0.0,1
1,0,1,0,1.0,38,45,1,1,0.99,0.0,1
0,1,0,0,0.53,31,40,0,0,0.99,0.0,1
0,1,1,0,0.95,21,35,1,1,0.99,0.0,1
0,0,0,0,0.12,30,26,1,0,2.96,0.0,1
0,0,0,0,0.26,36,38,1,1,2.96,0.0,1
0,0,0,0,0.47,55,22,1,1,2.96,0.0,0
0,0,0,0,0.51,41,53,1,1,2.96,0.0,1
0,0,0,0,0.66,42,45,1,1,2.96,0.0,0
0,0,1,0,1.0,20,37,0,1,2.96,0.0,1
1,0,1,0,1.0,43,52,0,0,2.96,0.0,1
0,1,0,1,0.06,47,16,0,0,2.96,0.0,0
1,1,1,0,1.0,39,53,0,0,2.96,0.0,1
1,1,1,0,1.0,13,29,1,1,2.96,0.0,1
1,0,0,0,0.09,34,38,1,0,1.67,0.0,0
1,0,0,0,0.43,40,16,0,1,1.67,0.0,0
1,0,0,0,0.62,19,3,0,1,1.67,0.0,1
1,0,0,0,0.87,32,22,1,1,1.67,0.0,1
1,0,1,0,1.0,26,29,1,1,1.67,0.0,1
1,0,1,0,1.0,50,3,0,1,1.67,0.0,1
0,1,0,0,0.25,35,45,1,0,1.67,0.0,1
0,1,0,0,0.52,22,32,1,0,1.67,0.0,1
0,1,1,0,1.0,34,37,1,1,1.67,0.0,1
0,1,1,0,1.0,52,40,0,1,1.67,0.0,1
0,1,1,0,1.0,41,54,0,1,1.67,0.0,1
0,0,0,0,0.11,38,55,1,0,3.67,0.0,1
